symbol,market,setup,direction,signal_date,entry_date,entry,stop,target,exit_date,exit,exit_reason,bars_held,days_held,size_units,risk_amount,r_gross,cost_r,r_net,mae_r,mfe_r,exit_ambiguous
ETHUSDT,crypto,A,short,2024-08-25,2024-08-26,2731.26,2889.92,2413.9400000000005,2024-08-27,2413.9400000000005,target,1,1.0,0.630279,100.0,2.0,0.023,1.977,0.0,2.0,False
AAVEUSDT,crypto,A,long,2024-08-29,2024-08-30,129.0,112.249,162.502,2024-09-22,162.502,target,23,23.0,5.969793,100.0,2.0,0.0627,1.9373,0.776,2.0,False
TRXUSDT,crypto,A,long,2024-09-06,2024-09-07,0.1513,0.144163,0.16557399999999994,2024-10-25,0.16557399999999994,target,48,48.0,14011.489421,100.0,2.0,0.3297,1.6703,0.602,2.0,False
NEARUSDT,crypto,A,short,2024-09-14,2024-09-15,4.116,4.51261,3.32278,2024-09-19,4.51261,stop,4,4.0,252.13686,100.0,-1.0,0.0244,-1.0244,1.0,0.716,False
ZECUSDT,crypto,B,short,2024-09-29,2024-09-30,28.07,29.9895,24.231,2024-10-07,29.9895,stop,7,7.0,52.0969,100.0,-1.0,0.0473,-1.0473,1.0,1.912,False
PEPEUSDT,crypto,A,long,2024-10-10,2024-10-11,9.87e-06,7.87278e-06,1.386444e-05,2024-11-03,7.87278e-06,stop,23,23.0,50069596.739468,100.0,-1.0,0.039,-1.039,1.0,0.651,False
AAVEUSDT,crypto,A,long,2024-10-11,2024-10-12,145.85,130.06,177.42999999999998,2024-11-03,130.06,stop,22,22.0,6.333122,100.0,-1.0,0.0706,-1.0706,1.0,1.266,False
SUIUSDT,crypto,B,long,2024-10-11,2024-10-12,2.168,1.98502,2.5339600000000004,2024-10-15,1.98502,stop,3,3.0,546.507815,100.0,-1.0,0.0231,-1.0231,1.0,1.093,False
XRPUSDT,crypto,B,short,2024-10-22,2024-10-23,0.5209,0.541733,0.47923400000000005,2024-11-06,0.541733,stop,14,14.0,4800.076801,100.0,-1.0,0.1331,-1.1331,1.0,1.675,False
SUIUSDT,crypto,A,long,2024-10-23,2024-10-24,2.0336,1.77867,2.5434599999999996,2024-10-25,1.77867,stop,1,1.0,392.264543,100.0,-1.0,0.0106,-1.0106,1.0,0.0,False
NEARUSDT,crypto,B,short,2024-10-24,2024-10-25,4.423,4.73197,3.805060000000001,2024-10-25,4.73197,stop_same_bar,0,0.0,323.656018,100.0,-1.0,0.0163,-1.0163,1.0,0.0,False
NEARUSDT,crypto,B,short,2024-10-25,2024-10-26,4.172,4.76483,2.9863399999999993,2024-11-10,4.76483,stop,15,15.0,168.682422,100.0,-1.0,0.04,-1.04,1.0,1.123,False
SUIUSDT,crypto,A,long,2024-10-28,2024-10-29,1.827,1.51147,2.4580599999999997,2024-11-09,2.4580599999999997,target,11,11.0,316.927075,100.0,2.0,0.0266,1.9734,0.176,2.0,False
SOLUSDT,crypto,A,long,2024-11-04,2024-11-05,166.61,150.759,198.31200000000007,2024-11-08,198.31200000000007,target,3,3.0,6.30875,100.0,2.0,0.0221,1.9779,0.013,2.0,False
ZECUSDT,crypto,B,long,2024-11-05,2024-11-06,41.12,38.505,46.34999999999999,2024-11-06,38.505,stop_same_bar,0,0.0,38.240918,100.0,-1.0,0.0167,-1.0167,1.0,0.0,False
DOGEUSDT,crypto,B,long,2024-12-07,2024-12-08,0.48,0.440404,0.5591919999999999,2024-12-09,0.440404,stop,1,1.0,2525.507627,100.0,-1.0,0.0164,-1.0164,1.0,0.0,False
DOGEUSDT,crypto,A,long,2024-12-11,2024-12-12,0.42302,0.34338,0.5823,2024-12-19,0.34338,stop,7,7.0,1255.650427,100.0,-1.0,0.0164,-1.0164,1.0,0.0,False
XRPUSDT,crypto,A,long,2024-12-23,2024-12-24,2.2938,1.83489,3.2116200000000004,2025-01-16,3.2116200000000004,target,23,23.0,217.907651,100.0,2.0,0.0411,1.9589,0.65,2.0,False
ENAUSDT,crypto,A,long,2024-12-29,2024-12-30,0.9758,0.774963,1.377474,2025-01-13,0.774963,stop,14,14.0,497.916221,100.0,-1.0,0.0252,-1.0252,1.0,1.676,False
SUIUSDT,crypto,A,long,2024-12-29,2024-12-30,4.28,3.27346,6.293080000000001,2025-02-02,3.27346,stop,34,34.0,99.350249,100.0,-1.0,0.0475,-1.0475,1.0,1.082,False
AAVEUSDT,crypto,A,long,2025-01-01,2025-01-02,328.5,288.763,407.97400000000005,2025-01-08,288.763,stop,6,6.0,2.516546,100.0,-1.0,0.0234,-1.0234,1.0,0.825,False
WLDUSDT,crypto,B,short,2025-01-12,2025-01-13,2.013,2.24122,1.5565599999999993,2025-01-16,2.24122,stop,3,3.0,438.173692,100.0,-1.0,0.0182,-1.0182,1.0,0.307,False
DEXEUSDT,crypto,A,long,2025-01-13,2025-01-14,16.706,12.3976,25.322799999999997,2025-04-01,12.3976,stop,77,77.0,23.210473,100.0,-1.0,0.0933,-1.0933,1.0,1.739,False
LINKUSDT,crypto,B,long,2025-01-16,2025-01-17,24.78,22.8694,28.601200000000006,2025-01-19,22.8694,stop,2,2.0,52.339579,100.0,-1.0,0.0215,-1.0215,1.0,0.466,False
NEARUSDT,crypto,B,short,2025-01-26,2025-01-27,4.413,4.84873,3.5415400000000012,2025-02-02,3.5415400000000012,target,6,6.0,229.49992,100.0,2.0,0.0283,1.9717,0.996,2.0,False
